GEOID,NMTC Eligibility,Opportunity Zone
01001020100,Not Eligible,No
01001020200,Eligible,No
01001020300,Not Eligible,No
01001020400,Not Eligible,No
01001020501,Not Eligible,No
01001020502,Not Eligible,No
01001020503,Not Eligible,No
01001020600,Eligible,No
01001020700,Severe Distress or Non-Metropolitan,Low-Income Community
01001020801,Not Eligible,No
01001020803,Eligible,No
01001020804,Not Eligible,No
01001020805,Not Eligible,No
01001020901,Not Eligible,No
01001020902,Not Eligible,No
01001021000,Eligible,No
01001021100,Severe Distress or Non-Metropolitan,No
01003010100,Eligible,No
01003010200,Eligible,Low-Income Community
01003010300,Not Eligible,No
01003010400,Eligible,Non-LIC Contiguous
01003010500,Not Eligible,Low-Income Community
01003010600,Deep Distress or High Migration Rural County,Low-Income Community
01003010704,Not Eligible,No
01003010706,Not Eligible,No
01003010707,Not Eligible,No
01003010708,Not Eligible,No
01003010709,Not Eligible,No
01003010710,Not Eligible,No
01003010711,Not Eligible,No
01003010800,Not Eligible,No
01003010903,Not Eligible,No
01003010904,Not Eligible,No
01003010906,Eligible,No
01003010907,Not Eligible,No
01003010908,Not Eligible,No
01003011000,Eligible,No
01003011102,Not Eligible,No
01003011103,Not Eligible,No
01003011104,Not Eligible,No
01003011201,Not Eligible,No
01003011202,Not Eligible,No
01003011300,Not Eligible,No
01003011409,Not Eligible,No
01003011410,Not Eligible,No
01003011411,Not Eligible,No
01003011412,Eligible,No
01003011413,Not Eligible,No
01003011414,Not Eligible,No
01003011415,Not Eligible,No
01003011416,Not Eligible,No
01003011417,Not Eligible,No
01003011418,Not Eligible,No
01003011419,Not Eligible,No
01003011501,Not Eligible,Non-LIC Contiguous
01003011503,Eligible,No
01003011504,Not Eligible,No
01003011601,Not Eligible,No
01003011603,Eligible,No
01003011604,Not Eligible,No
01003990000,Not Eligible,No
01005950100,Not Eligible,Low-Income Community
01005950200,Deep Distress or High Migration Rural County,No
01005950300,Deep Distress or High Migration Rural County,No
01005950400,Deep Distress or High Migration Rural County,No
01005950500,Not Eligible,No
01005950600,Deep Distress or High Migration Rural County,No
01005950700,Deep Distress or High Migration Rural County,No
01005950800,Deep Distress or High Migration Rural County,No
01005950900,Deep Distress or High Migration Rural County,No
01007010001,Eligible,No
01007010005,Not Eligible,No
01007010006,Not Eligible,No
01007010007,Eligible,No
01007010008,Not Eligible,No
01007010009,Severe Distress or Non-Metropolitan,No
01007010010,Severe Distress or Non-Metropolitan,No
01007010011,Eligible,No
01009050103,Severe Distress or Non-Metropolitan,No
01009050104,Not Eligible,No
01009050105,Not Eligible,No
01009050106,Eligible,No
01009050107,Eligible,No
01009050200,Severe Distress or Non-Metropolitan,No
01009050301,Eligible,No
01009050302,Severe Distress or Non-Metropolitan,No
01009050400,Not Eligible,No
01009050501,Eligible,No
01009050502,Not Eligible,No
01009050601,Not Eligible,No
01009050603,Not Eligible,No
01009050604,Not Eligible,No
01009050701,Eligible,No
01009050702,Severe Distress or Non-Metropolitan,No
01011952100,Deep Distress or High Migration Rural County,No
01011952201,Severe Distress or Non-Metropolitan,No
01011952202,Deep Distress or High Migration Rural County,No
01011952500,Not Eligible,No
01013952700,Deep Distress or High Migration Rural County,No
01013952800,Not Eligible,Low-Income Community
01013952900,Severe Distress or Non-Metropolitan,No
01013953000,Deep Distress or High Migration Rural County,No
01013953100,Deep Distress or High Migration Rural County,No
01013953200,Not Eligible,No
01013953300,Not Eligible,No
01013953400,Severe Distress or Non-Metropolitan,No
01013953500,Not Eligible,No
01015000200,Severe Distress or Non-Metropolitan,No
01015000300,Severe Distress or Non-Metropolitan,No
01015000400,Deep Distress or High Migration Rural County,No
01015000500,Deep Distress or High Migration Rural County,No
01015000600,Deep Distress or High Migration Rural County,No
01015000700,Eligible,Low-Income Community
01015000800,Deep Distress or High Migration Rural County,Low-Income Community
01015000900,Not Eligible,No
01015001000,Not Eligible,No
01015001101,Not Eligible,No
01015001102,Severe Distress or Non-Metropolitan,No
01015001103,Not Eligible,No
01015001201,Severe Distress or Non-Metropolitan,No
01015001202,Not Eligible,No
01015001300,Deep Distress or High Migration Rural County,No
01015001400,Not Eligible,No
01015001501,Not Eligible,No
01015001502,Severe Distress or Non-Metropolitan,No
01015001600,Severe Distress or Non-Metropolitan,No
01015001700,Not Eligible,No
01015001801,Not Eligible,No
01015001802,Not Eligible,No
01015002001,Not Eligible,No
01015002002,Not Eligible,No
01015002101,Deep Distress or High Migration Rural County,Low-Income Community
01015002102,Not Eligible,No
01015002104,Severe Distress or Non-Metropolitan,No
01015002105,Eligible,No
01015002200,Not Eligible,No
01015002300,Severe Distress or Non-Metropolitan,No
01015002400,Not Eligible,No
01015002502,Not Eligible,No
01015002503,Not Eligible,No
01015002504,Not Eligible,No
01015002600,Not Eligible,No
01015981901,Not Eligible,No
01015981902,Not Eligible,No
01015981903,Not Eligible,No
